GHG ID No. / No d'identification de GES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,Reporting Company Business Number / Numéro d'entreprise de la société déclarante,DUNS Number / Numéro DUNS,Public Contact Name / Nom du responsable des renseignements au public,Public Contact Position / Poste ou Titre du responsable des renseignements au public,Public Contact Telephone / Numéro de téléphone du responsable des renseignements au public,Public Contact Extension / Poste téléphonique du responsable des renseignements au public,Public Contact Email / Adresse électronique du responsable des renseignements au public,Public Contact Mailing Address / Adresse postale du responsable des renseignements au public,Public Contact City or District or Municipality / Ville ou District ou Municipalité du responsable des renseignements au public,Public Contact Province or Territory / Province ou Territoire du responsable des renseignements au public,Public Contact Postal Code / Code postal du responsable des renseignement au public,CO2 (tonnes),CO2 (tonnes CO2e / tonnes éq. CO2),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes), HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2),Monitoring or Direct Measurement / Surveillance ou mesure directe,Mass Balance / Bilan massique,Emission Factors / Facteurs d'émission,Engineering Estimates / Calculs techniques
G11084,2017,Hartmann North America, 58 Frank Street ,Brantford,Ontario,N3T5T6,43.14410,-80.29630,11039,322299,Other converted paper product Mfg,Fabrication d'autres produits en papier transformé,Hartmann Canada Inc.,,862250255,,,,,,,    ,,,,15436.2,15436.2,0.3041,7.6025,0.2711,80.7878,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,15524.5903,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11085,2017,Moose Jaw, 603 High Street ,Moose Jaw,Saskatchewan,S6H 4R3,50.39150,-105.55180,17705,327215,Glass product Mfg from Purchased glass,Fabrication de produits en verre à partir de verre acheté,PNA Partnership o/a Potters Canada,,143581593,,,,,,,    ,,,,10160.1215,10160.1215,0.195,4.875,0.1875,55.875,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,10220.8715,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11086,2017,Usine de coulée continue de Montréal-Est, 460 Durocher Avenue ,Montréal-Est,Quebec,H1B5H6,45.62910,-73.51320,959,331420,"Copper rolling, drawing, extruding and alloying","Laminage, étirage, extrusion et alliage du cuivre",Nexans Canada Inc.,,886486489,248892127,Carlos Sanchez,VP & DG division conducteurs électriques - Amérique du Nord,5146452301,1620,carlos.sanchez@nexans.com, 460 Durocher Avenue ,Montréal-Est,Quebec,H1B5H6,16254,16254,0.412,10.3,0.28998,86.41404,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,16350.71404,Not Applicable / Sans objet,Applicable,Applicable,Not Applicable / Sans objet
G11087,2017,Tunney's Pasture Central Heating and Cooling Plant, 50 Chardon Drive ,Ottawa,Ontario,K1A0M3,45.40530,-75.73740,10177,911910,Other Fed. Government Public Administration,Autres services de l'admin. publique fédérale,Public Works and Government Services Canada,,111111111,,,,,,,    ,,,,14014.34,14014.34,0.28,7,0.25,74.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,14095.84,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11088,2017,Confederation Heights Central Heating and Cooling Plant, 501 Heron Road ,Ottawa,Ontario,K1A0M3,45.37740,-75.68480,11482,911910,Other Fed. Government Public Administration,Autres services de l'admin. publique fédérale,Public Works and Government Services Canada,,111111111,,Jean-Rock Tourigny,"Senior Director, Environment, Health and Safety",8734693536,,Jean-Rock.tourigny@pwgsc.gc.ca, 11 Laurier Street ,Gatineau,Quebec,K1A0S5,6400,6400,0.13,3.25,0.12,35.76,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,6439.01,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11089,2017,Sanimax Lom, 9900 6e Street West,Montréal,Quebec,H1C1G2,45.39040,-73.33050,8594,311614,Rendering and meat processing from carcasses,Fonte de graisses animales et transformation de la viande provenant de carcasses,Sanimax Lom,,103377636,,Éric Caputo,directeur ,5146486001,3249,eric.caputo@sanimax.com, 9900 6e rue Street ,montreal,Quebec,H1C1G2,28465,28465,0.588774,14.71935,0.3429,102.1842,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,28581.90355,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11090,2017,Usine Dorval, 500 Cote-Vertu  ,Dorval,Quebec,H4S1Y9,45.47440,-73.73300,1139,336410,Aerospace Product & Parts Mfg.,Fab. de produits aérospatiaux & de leurs pièces,Bombardier Inc.,,854857935,,,,,,,    ,,,,11750.455,11750.455,0.17793,4.44825,0.21443,63.90014,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,11818.80339,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11091,2017,Whitecap Valhalla North 03-27-075-09W6,    ,Valhalla,Alberta,,55.52030,-119.31530,16633,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Whitecap Resources Inc.,,833600422,999999999,Mike Nerbas,V.P. HSE,4038268404,,Mike.Nerbas@wcap.ca,3800 525 8th Avenue Southwest,Calgary,Alberta,T2P 1G1,8778.5418,8778.5418,125.3668,3134.17,0.9472,282.2656,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,12194.9774,Not Applicable / Sans objet,Applicable,Applicable,Not Applicable / Sans objet
G11092,2017,Sonoco Brantford, 33 Park Avenue ,Brantford,Ontario,N3T5T5,43.13400,-80.24670,10193,322130,Paperboard Mills,Usines de carton,Sonoco Canada Corporation,Sonoco Canada Corporation,104930748,201197394,Jason Giffen,Plant Manager,6133921231,247,jason.giffen@sonoco.com, 33 Park Avenue ,Brantford,Ontario,N3T5T5,25040,25040,0.493,12.325,0.44,131.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,25183.445,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G11093,2017,Halton Waste Management Site, 5400 Regional 25 Road ,Milton,Ontario,L9T2X5,43.47270,-79.83370,11621,562210,Waste Treatment & Disposal,Traitement & élimination des déchets,Region Municipality of Halton,,123609950,,Art Mercer,Supervisor of Landfill Operations,9058256000,8207,art.mercer@halton.ca, 1151 Bronte Road ,Oakville,Ontario,L6M3L1,,,1241.332,31033.3,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,31033.3,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G11094,2017,Sonoco - Trent Valley Mill, 5 Bernard Long Road ,Trenton,Ontario,K8V5P6,44.15333,-77.58444,7684,322130,Paperboard Mills,Usines de carton,Sonoco Canada Corporation,Sonoco Canada Corporation,104930748,201197394,Alejandro Abes,Plant Manager,6133921231,229,alejandro.abes@sonoco.com, 5 Bernard Long Road ,Trenton,Ontario,K0K3E0,42457,42457,0.836017,20.900425,0.74609,222.33482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,42700.23525,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G11095,2017,INFASCO, 700 Ouellette  ,Marieville,Quebec,J3M1P6,45.43100,-73.16730,449,331221,Cold-rolled steel shape Mfg,Fabrication de formes en acier laminé à froid,Ifastgroupe,,136195849,208519041,Abdelhaq El Ouardi,Chef Environnement,4506588741,2500,aelouardi@infasco.com, 700 Ouellette Street East,Marieville,Quebec,J3M 1P6,17462,17462,0.4161,10.4025,0.3602,107.3396,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,17579.7421,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11096,2017,Kisbey Sour Gas Plant 05-13,    ,Kisbey,Saskatchewan,S0C 1L0,49.64460,-102.70340,22008,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Steel Reef Infrastructure Corp.,,820197531,,Grant  Olson,Operations Superintendent,4039019837,,grant.olson@steelreef.ca,500 407 8th Avenue Southwest,Calgary,Alberta,T2P 1E5,9693.341416,9693.341416,88.271196,2206.7799,0.161988,48.272424,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,11948.39374,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G11097,2017,Ruetgers Canada Inc, 725  Strathearne Avenue North,Hamilton,Ontario,L8H5L3,43.26030,-79.79140,2070,325190,Other Basic Organic Chemical Mfg.,Fab. d'autres produits chim. organiques de base,Ruetgers Canada Inc.,,100804707,,Gord Gilmet,Technical Manager                                                                                                                                                                                                                                               ,9055485532,,gord.gilmet@raincarbon.com, 725 Strathearne Avenue North,Hamilton,Ontario,L8H 5L3,28237,28237,0.56,14,0.5,149,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,28400,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11098,2017,ArcelorMittal Coteau Du Lac Inc, 25 de l'acier  ,Coteau du Lac,Quebec,J0P1B0,45.33330,-74.16670,4328,339990,All Other Miscellaneous Mfg.,Toutes les autres activités diverses de fab.,ArcelorMittal Coteau Du Lac,,124102690,248582736,Gilles Lahaie P.Eng,Directeur Général,4507630915,223,gilles.lahaie@arcelormittal.com, 25 De L'Acier  ,Coteau du Lac,Quebec,J0P1B0,12652.2,12652.2,0.2493,6.2325,0.2223,66.2454,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,12724.6779,Not Applicable / Sans objet,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable
G11099,2017,TRILOGY TWO CREEK 07-04,    ,N/A,Alberta,,54.41810,116.36200,,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Paramount Resources Ltd.,,896177110,,Leili Chepelkevitch,  Sr. Corportate Environmental Coordinator,4032903609,,leili.chepelkevitch@paramountres.com,2800 421 7 Avenue Southwest,Calgary,Alberta,T2P4K9,16146.9172,16146.9172,134.3786,3359.465,0.3128,93.2144,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,19599.5966,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G11100,2017,Trilogy Presley 03-29 100%,    ,N/A,Alberta,,54.12510,116.81670,,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Paramount Resources Ltd.,,896177110,,Leili Chepelkevitch,  Sr. Corportate Environmental Coordinator,4032903609,,leili.chepelkevitch@paramountres.com,2800 421 7 Avenue Southwest,Calgary,Alberta,T2P4K9,28664.855,28664.855,430.9473,10773.6825,0.3744,111.5712,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,39550.1087,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G11101,2017,Simonette Battery 16-17,    ,N/A,Alberta,,54.54180,117.88410,,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Paramount Resources Ltd.,,896177110,,Leili Chepelkevitch,  Sr. Corportate Environmental Coordinator,4032903609,,leili.chepelkevitch@paramountres.com,2800 421 7 Avenue Southwest,Calgary,Alberta,T2P4K9,11647.559,11647.559,30.3756,759.39,0.2172,64.7256,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,12471.6746,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G11102,2017,Goodyear Canada Inc. , 388 Goodyear Road ,Napanee,Ontario,K7R3L2,44.28700,-76.94820,1322,326210,Tire Mfg.,Fabrication de pneus,Goodyear Canada Inc.,,118941806,118941806,Nina Norgaard,Environmental Coordinator,6133547835,,nina_norgaard@goodyear.com, 388 Goodyear  Road ,Napanee,Ontario,K7R3P5,17890.99,17890.99,0.354,8.85,0.319,95.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17994.902,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11103,2017,Kaiser Aluminum Canada Limited, 3021  Gore Road ,London,Ontario,N5V5A9,42.98620,-81.14080,5649,331317,"Alum. Rolling, Drawing, Extruding & Alloying","Laminage, étirage, extrusion & alliage de l'aluminium",Kaiser Aluminum Canada Limited,,102755261,,Les Charlton,EH&S Manager,5194573610,234,les.charlton@kaiseraluminum.com, 3021 Gore Road ,London,Ontario,N5V5A9,17932.332,17932.332,0.351,8.775,0.318,94.764,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,18035.871,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11104,2017,Victoriaville, 75 Pierre-Roux Boulevard East,Victoriaville,Quebec,G6T1S8,46.06630,-71.97060,5473,311515,"Butter, cheese, and dry and condensed dairy product manufacturing","Fabrication de beurre, de fromage et de produits laitiers secs et concentrés",Parmalat Canada Inc.,,895914547,,,,,,,    ,,,,14421,14421,0.2876,7.19,0.2682,79.9236,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,14508.1136,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11105,2017,Winchester, 490 Gordon Street ,Winchester,Ontario,K0C2K0,45.09440,-75.35530,3840,311515,"Butter, cheese, and dry and condensed dairy product manufacturing","Fabrication de beurre, de fromage et de produits laitiers secs et concentrés",Parmalat Canada Inc.,,895914547,,,,,,,    ,,,,22146.58,22146.58,0.435,10.875,0.3871,115.3558,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,22272.8108,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11106,2017,Strathcona Paper LP, 77 County Road 16  ,RR#7 Napanee,Ontario,K7R3L2,44.30556,-76.90028,4831,322130,Paperboard Mills,Usines de carton,Strathcona Paper GP Inc.,,858712524,,Troy Gibson,General Manager,6133786672,249,tgibson@strathconapaper.com,    ,NAPANEE,Ontario,K7R 3L6,32376.383,32376.383,0.638,15.95,0.569,169.562,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,32561.895,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11107,2017,Beiseker Compressor Station 04-15,    ,Beiseker,Alberta,,51.38810,-110.77250,17192,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Lynx Energy ULC,,779294123,,,,,,,    ,,,,12131.8951,12131.8951,390.9046,9772.615,0.3395,101.171,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,22005.6811,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G11108,2017,Joffre Compressor Station 04-22,    ,Joffre,Alberta,,52.36290,-113.53490,17195,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Lynx Energy ULC,,779294123,,,,,,,    ,,,,9256.949,9256.949,580.9954,14524.885,0.2598,77.4204,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,23859.2544,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G11109,2017,LA CIE MATÉRIAUX DE CONSTRUCTION BP CANADA - Pont-Rouge, 420 Dupont  ,Pont-Rouge,Quebec,G3H1S2,46.74860,-71.71250,4982,321216,Particle Board & Fibreboard Mills,Usines de panneaux de particules & de fibres,La Cie Matériaux de Construction BP Canada,,865150734,201271541,Paul Ducharme,"Dir. Ingénierie, Environnement & Énergie",5143647656,,pducharme@bpcan.com, 9500 St-Patrick Street ,LaSalle,Quebec,H8R 1R9,20876.68,20876.68,0.432,10.8,0.387,115.326,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,21002.806,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11110,2017,Chemtrade - Fort Saskatchewan Sulphides, 8902 119th Street ,Fort Saskatchewan,Alberta,T8L2T2,53.7229,-113.174,2130,325190,Other Basic Organic Chemical Mfg.,Fab. d'autres produits chim. organiques de base,Chemtrade Logistics Inc.,,875182214,251951794,saminda chandraratne,EHS Supervisor,7809924732,,schandraratne@chemtradelogistics.com,  119 Street ,Fort Saskatchewan,Alberta,T8L 2T2,6370.12,6370.12,122.24,3056,109.08,32505.84,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,41931.96,Not Applicable / Sans objet,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable
G11111,2017,McCain Foods Coaldale FF plant,  Range Road 19-0  ,Coaldale,Alberta,T1M1N3,49.75997,-112.45270,5020,311410,Frozen Food Mfg.,Fabrication d'aliments congelés,McCain Foods Canada Ltd.,,103584124,200195923,,,,,,    ,,,,23625,23625,0.63,15.75,0.42,125.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,23765.91,Not Applicable / Sans objet,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable
G11112,2017,Ferrier Comp Stn 09-03,    ,N/A,Alberta,,52.24080,-114.90920,21234,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Bellatrix Exploration Ltd.,,896021615,,,,,,,    ,,,,37109.637,37109.637,228.195,5704.875,0.507,151.086,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,42965.598,Applicable,Not Applicable / Sans objet,Applicable,Applicable
G11113,2017,Montreal Sulphur Plant, 11450 Cherrier  ,Montréal-Est,Quebec,H1B1A6,45.63640,-73.52130,2229,325189,All Other Basic Inorganic Chemical Mfg.,Fab. tous les autres prod. chim. inorg. de base,Suncor Energy Products Partnership,,836581322,241804681,,,,,,    ,,,,22396.27,22396.27,6.331508,158.2877,0.300677,89.601746,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,22644.15945,Applicable,Applicable,Applicable,Applicable
G11114,2017,Portable Plant 020008,    ,Rogocz Pit,Alberta,,51.94232,114.22888,21076,237310,"Highway, street and bridge construction","Construction de routes, de rues et de ponts",Border Paving Ltd.,,100584028,,Roger Walls,Operations Manager,4033431177,,rwalls@borderpaving.com, 6711 Golden West  Avenue North,Red Deer,Alberta,T4P 1A7,4677.04,4677.04,0.09,2.25,0.19,56.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,4735.91,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11115,2017,Guelph Beef, 165 Dunlop Drive ,Guelph,Ontario,N1L1P4,43.55290,-80.20200,11105,311611,Animal (except Poultry) Slaughtering,Abattage d'animaux (sauf les volailles),Cargill Limited,,100494855,207525098,Bill Castledine,Utilities Supervisor,5198235200,464,william_castledine@cargill.com, 165 Dunlop Drive ,Guelph,Ontario,N1L1P4,10873.028,10873.028,0.213,5.325,0.19,56.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,10934.973,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11116,2017,USINE MONTREAL, 1620 Préfontaine  ,Montréal,Quebec,H1W2N8,45.5389,-73.5447,705,311990,All Other Food Mfg.,Fabrication de tous les autres aliments,Lallemand Inc.,,894788835,,Martin  Cyr,Directeur d'usine,5145292329,,mcyr@lallemand.com, 1620 Préfontaine Street West,Montréal,Quebec,H1W2N8,12649,12649,0.22,5.5,0.021,6.258,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,12660.758,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11117,2017,Peyto Galloway 09-34-053-20W5,    ,N/A,Alberta,,53.62340,-116.85860,22389,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Peyto Exploration and Development Corporation,Peyto Exploration and Development Corporation,886003763,,Ivan  Butynets,Operations Engineer,4033135572,,IButynets@peyto.com,300 600  3rd Avenue Southwest,Calgary,Alberta,T2P 0G5,30096.40925,30096.40925,417.3050369,10432.62592,1.1732154,349.6181892,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,40878.65336,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G11118,2017,Baytex Darwin Gas Plant 16-28-094-18W5,    ,Darwin,Alberta,,57.18970,-119.05480,15449,211141,In-situ oil sands extraction,Extraction in situ de sables bitumineux,Baytex Energy Ltd,,872912894,249844952,Sana Talebi,Atmospheric Engineer,6042351879,,Sana.Talebi@stantec.com,500 4730 Kingsway  ,Burnaby,British Columbia,V5H 0C6,3991.43835,3991.43835,410.67408,10266.852,1.342765,400.14397,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,14658.43432,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11119,2017,MSC Toronto, 1430 Martin Grove Road ,Etobicoke,Ontario,M9W4Y1,43.71670,-79.58330,4527,332810,"Coating, Engraving & Heat Treating Activities","Revêt., gravure, trait. therm. & act. analogues",Continuous Colour Coat Limited,Material Sciences Corporation,101131027,201453537,Marika TOYAMA,Environmental Engineer,4167437980,243,marika.toyama@materialsciencescorp.com, 1430  Martin Grove Road ,Etobicoke,Ontario,M9W4Y1,11986.77,11986.77,0.236,5.9,0.21,62.58,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,12055.25,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11120,2017,8 Wing Trenton Environmental Management,Rm 305 74 Polaris Avenue ,Astra,Ontario,K0K3W0,44.11190,-77.53170,744,911110,Defense Services,Services de défense,DEPARTMENT OF NATIONAL DEFENCE,,121491807,,MARYAM MANESH,ENVIRONMENTAL ADVISOR,6139717629,,MARYAM.MANESH@FORCES.GC.CA, 101 Colonel By Drive Drive North,ottawa,Ontario,k1a 0k5,30762,30762,0.73,18.25,2.08,619.84,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,31400.09,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G11121,2017,Spray Lake Sawmills (1980) Ltd., 305 Griffin Road ,Cochrane,Alberta,T4C2C4,51.18162,-114.4721,2517,321114,Wood preservation,Préservation du bois,Spray Lake Sawmills (1980) Ltd.,,104970470,200791333,Brian Boyle,Environment Coordinator,4038513356,,brian.boyle@spraylakesawmills.com, 305 Griffin Road West,Cochrane,Alberta,T4C2C4,10690.9,10690.9,4.3888,109.72,0.42,125.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,10925.78,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
